Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 9.673286e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011387 | lrm: 1.00 | dt: 1918ms | tok/sec: 17,087 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.227638 | lrm: 1.00 | dt: 403ms | tok/sec: 81,312 | mfu: 52.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.006374 | lrm: 1.00 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.588782 | lrm: 1.00 | dt: 367ms | tok/sec: 89,373 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.208686 | lrm: 1.00 | dt: 367ms | tok/sec: 89,259 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.953754 | lrm: 1.00 | dt: 366ms | tok/sec: 89,561 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.722742 | lrm: 1.00 | dt: 366ms | tok/sec: 89,629 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.535211 | lrm: 1.00 | dt: 367ms | tok/sec: 89,293 | mfu: 57.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.372522 | lrm: 1.00 | dt: 366ms | tok/sec: 89,577 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.211603 | lrm: 1.00 | dt: 367ms | tok/sec: 89,199 | mfu: 57.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.064425 | lrm: 1.00 | dt: 366ms | tok/sec: 89,435 | mfu: 57.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.956492 | lrm: 1.00 | dt: 366ms | tok/sec: 89,604 | mfu: 57.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.859335 | lrm: 1.00 | dt: 368ms | tok/sec: 89,163 | mfu: 57.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.764393 | lrm: 1.00 | dt: 365ms | tok/sec: 89,789 | mfu: 57.9% | epoch: 1 | remaining: 299s    
step 00031 (2.4%) | loss: 5.929874 | lrm: 1.00 | dt: 366ms | tok/sec: 89,614 | mfu: 57.8% | epoch: 1 | remaining: 292s    
step 00032 (2.6%) | loss: 5.894722 | lrm: 1.00 | dt: 367ms | tok/sec: 89,331 | mfu: 57.6% | epoch: 1 | remaining: 292s    
step 00033 (2.7%) | loss: 5.871232 | lrm: 1.00 | dt: 366ms | tok/sec: 89,522 | mfu: 57.7% | epoch: 1 | remaining: 292s    
step 00034 (2.8%) | loss: 5.854561 | lrm: 1.00 | dt: 367ms | tok/sec: 89,369 | mfu: 57.6% | epoch: 1 | remaining: 291s    
step 00035 (2.9%) | loss: 5.830153 | lrm: 1.00 | dt: 366ms | tok/sec: 89,622 | mfu: 57.8% | epoch: 1 | remaining: 291s    
step 00036 (3.1%) | loss: 5.808945 | lrm: 1.00 | dt: 365ms | tok/sec: 89,725 | mfu: 57.9% | epoch: 1 | remaining: 290s    
step 00037 (3.2%) | loss: 5.789359 | lrm: 1.00 | dt: 367ms | tok/sec: 89,308 | mfu: 57.6% | epoch: 1 | remaining: 290s    
step 00038 (3.3%) | loss: 5.768387 | lrm: 1.00 | dt: 366ms | tok/sec: 89,613 | mfu: 57.8% | epoch: 1 | remaining: 290s    
step 00039 (3.4%) | loss: 5.741010 | lrm: 1.00 | dt: 367ms | tok/sec: 89,332 | mfu: 57.6% | epoch: 1 | remaining: 289s    
step 00040 (3.5%) | loss: 5.726799 | lrm: 1.00 | dt: 366ms | tok/sec: 89,491 | mfu: 57.7% | epoch: 1 | remaining: 289s    
step 00041 (3.7%) | loss: 5.703573 | lrm: 1.00 | dt: 367ms | tok/sec: 89,366 | mfu: 57.6% | epoch: 1 | remaining: 289s    
step 00042 (3.8%) | loss: 5.680508 | lrm: 1.00 | dt: 366ms | tok/sec: 89,575 | mfu: 57.8% | epoch: 1 | remaining: 288s    
step 00043 (3.9%) | loss: 5.661756 | lrm: 1.00 | dt: 367ms | tok/sec: 89,341 | mfu: 57.6% | epoch: 1 | remaining: 288s    
step 00044 (4.0%) | loss: 5.644080 | lrm: 1.00 | dt: 365ms | tok/sec: 89,768 | mfu: 57.9% | epoch: 1 | remaining: 288s    
step 00045 (4.1%) | loss: 5.620153 | lrm: 1.00 | dt: 366ms | tok/sec: 89,483 | mfu: 57.7% | epoch: 1 | remaining: 287s    
step 00046 (4.3%) | loss: 5.597017 | lrm: 1.00 | dt: 365ms | tok/sec: 89,770 | mfu: 57.9% | epoch: 1 | remaining: 287s    
step 00047 (4.4%) | loss: 5.574278 | lrm: 1.00 | dt: 364ms | tok/sec: 90,008 | mfu: 58.0% | epoch: 1 | remaining: 286s    
step 00048 (4.5%) | loss: 5.556421 | lrm: 1.00 | dt: 367ms | tok/sec: 89,164 | mfu: 57.5% | epoch: 1 | remaining: 286s    
step 00049 (4.6%) | loss: 5.537983 | lrm: 1.00 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 286s    
step 00050 (4.8%) | loss: 5.518586 | lrm: 1.00 | dt: 377ms | tok/sec: 86,977 | mfu: 56.1% | epoch: 1 | remaining: 285s    
step 00051 (4.9%) | loss: 5.505811 | lrm: 1.00 | dt: 367ms | tok/sec: 89,214 | mfu: 57.5% | epoch: 1 | remaining: 285s    
step 00052 (5.0%) | loss: 5.495682 | lrm: 1.00 | dt: 365ms | tok/sec: 89,665 | mfu: 57.8% | epoch: 1 | remaining: 285s    
step 00053 (5.1%) | loss: 5.474817 | lrm: 1.00 | dt: 366ms | tok/sec: 89,452 | mfu: 57.7% | epoch: 1 | remaining: 284s    
step 00054 (5.3%) | loss: 5.465913 | lrm: 1.00 | dt: 366ms | tok/sec: 89,526 | mfu: 57.7% | epoch: 1 | remaining: 284s    
step 00055 (5.4%) | loss: 5.453809 | lrm: 1.00 | dt: 364ms | tok/sec: 89,949 | mfu: 58.0% | epoch: 1 | remaining: 284s    
step 00056 (5.5%) | loss: 5.437533 | lrm: 1.00 | dt: 368ms | tok/sec: 89,055 | mfu: 57.4% | epoch: 1 | remaining: 283s    
step 00057 (5.6%) | loss: 5.422430 | lrm: 1.00 | dt: 366ms | tok/sec: 89,602 | mfu: 57.8% | epoch: 1 | remaining: 283s    
step 00058 (5.7%) | loss: 5.405936 | lrm: 1.00 | dt: 366ms | tok/sec: 89,539 | mfu: 57.7% | epoch: 1 | remaining: 282s    
step 00059 (5.9%) | loss: 5.394942 | lrm: 1.00 | dt: 367ms | tok/sec: 89,206 | mfu: 57.5% | epoch: 1 | remaining: 282s    
step 00060 (6.0%) | loss: 5.379574 | lrm: 1.00 | dt: 365ms | tok/sec: 89,665 | mfu: 57.8% | epoch: 1 | remaining: 282s    
step 00061 (6.1%) | loss: 5.364943 | lrm: 1.00 | dt: 367ms | tok/sec: 89,187 | mfu: 57.5% | epoch: 1 | remaining: 281s    
step 00062 (6.2%) | loss: 5.352007 | lrm: 1.00 | dt: 367ms | tok/sec: 89,185 | mfu: 57.5% | epoch: 1 | remaining: 281s    
step 00063 (6.4%) | loss: 5.339511 | lrm: 1.00 | dt: 366ms | tok/sec: 89,650 | mfu: 57.8% | epoch: 1 | remaining: 281s    
step 00064 (6.5%) | loss: 5.323723 | lrm: 1.00 | dt: 367ms | tok/sec: 89,308 | mfu: 57.6% | epoch: 1 | remaining: 280s    
step 00065 (6.6%) | loss: 5.310528 | lrm: 1.00 | dt: 367ms | tok/sec: 89,380 | mfu: 57.6% | epoch: 1 | remaining: 280s    
step 00066 (6.7%) | loss: 5.292051 | lrm: 1.00 | dt: 366ms | tok/sec: 89,622 | mfu: 57.8% | epoch: 1 | remaining: 279s    
step 00067 (6.8%) | loss: 5.285905 | lrm: 1.00 | dt: 366ms | tok/sec: 89,505 | mfu: 57.7% | epoch: 1 | remaining: 279s    
step 00068 (7.0%) | loss: 5.280448 | lrm: 1.00 | dt: 367ms | tok/sec: 89,267 | mfu: 57.6% | epoch: 1 | remaining: 279s    
step 00069 (7.1%) | loss: 5.269526 | lrm: 1.00 | dt: 366ms | tok/sec: 89,597 | mfu: 57.8% | epoch: 1 | remaining: 278s    
step 00070 (7.2%) | loss: 5.264649 | lrm: 1.00 | dt: 368ms | tok/sec: 89,078 | mfu: 57.4% | epoch: 1 | remaining: 278s    
step 00071 (7.3%) | loss: 5.246999 | lrm: 1.00 | dt: 367ms | tok/sec: 89,396 | mfu: 57.7% | epoch: 1 | remaining: 278s    
step 00072 (7.4%) | loss: 5.231883 | lrm: 1.00 | dt: 365ms | tok/sec: 89,878 | mfu: 58.0% | epoch: 1 | remaining: 277s    
step 00073 (7.6%) | loss: 5.220979 | lrm: 1.00 | dt: 367ms | tok/sec: 89,247 | mfu: 57.6% | epoch: 1 | remaining: 277s    
step 00074 (7.7%) | loss: 5.208118 | lrm: 1.00 | dt: 364ms | tok/sec: 89,944 | mfu: 58.0% | epoch: 1 | remaining: 277s    
step 00075 (7.8%) | loss: 5.192676 | lrm: 1.00 | dt: 368ms | tok/sec: 89,051 | mfu: 57.4% | epoch: 1 | remaining: 276s    
step 00076 (7.9%) | loss: 5.181478 | lrm: 1.00 | dt: 369ms | tok/sec: 88,756 | mfu: 57.2% | epoch: 1 | remaining: 276s    
step 00077 (8.1%) | loss: 5.174754 | lrm: 1.00 | dt: 365ms | tok/sec: 89,704 | mfu: 57.8% | epoch: 1 | remaining: 275s    
step 00078 (8.2%) | loss: 5.165288 | lrm: 1.00 | dt: 368ms | tok/sec: 89,077 | mfu: 57.4% | epoch: 1 | remaining: 275s    
step 00079 (8.3%) | loss: 5.156937 | lrm: 1.00 | dt: 365ms | tok/sec: 89,741 | mfu: 57.9% | epoch: 1 | remaining: 275s    
step 00080 (8.4%) | loss: 5.139499 | lrm: 1.00 | dt: 364ms | tok/sec: 89,920 | mfu: 58.0% | epoch: 1 | remaining: 274s    
step 00081 (8.5%) | loss: 5.123694 | lrm: 1.00 | dt: 368ms | tok/sec: 89,162 | mfu: 57.5% | epoch: 1 | remaining: 274s    
step 00082 (8.7%) | loss: 5.103023 | lrm: 1.00 | dt: 364ms | tok/sec: 89,963 | mfu: 58.0% | epoch: 1 | remaining: 274s    
step 00083 (8.8%) | loss: 5.090067 | lrm: 1.00 | dt: 366ms | tok/sec: 89,490 | mfu: 57.7% | epoch: 1 | remaining: 273s    
step 00084 (8.9%) | loss: 5.078947 | lrm: 1.00 | dt: 368ms | tok/sec: 89,110 | mfu: 57.5% | epoch: 1 | remaining: 273s    
step 00085 (9.0%) | loss: 5.074125 | lrm: 1.00 | dt: 366ms | tok/sec: 89,629 | mfu: 57.8% | epoch: 1 | remaining: 273s    
step 00086 (9.2%) | loss: 5.075164 | lrm: 1.00 | dt: 365ms | tok/sec: 89,717 | mfu: 57.9% | epoch: 1 | remaining: 272s    
step 00087 (9.3%) | loss: 5.059738 | lrm: 1.00 | dt: 368ms | tok/sec: 89,144 | mfu: 57.5% | epoch: 1 | remaining: 272s    
step 00088 (9.4%) | loss: 5.044233 | lrm: 1.00 | dt: 365ms | tok/sec: 89,779 | mfu: 57.9% | epoch: 1 | remaining: 271s    
step 00089 (9.5%) | loss: 5.029283 | lrm: 1.00 | dt: 366ms | tok/sec: 89,506 | mfu: 57.7% | epoch: 1 | remaining: 271s    
step 00090 (9.6%) | loss: 5.022223 | lrm: 1.00 | dt: 369ms | tok/sec: 88,870 | mfu: 57.3% | epoch: 1 | remaining: 271s    
step 00091 (9.8%) | loss: 5.022264 | lrm: 1.00 | dt: 366ms | tok/sec: 89,541 | mfu: 57.7% | epoch: 1 | remaining: 270s    
step 00092 (9.9%) | loss: 5.007267 | lrm: 1.00 | dt: 367ms | tok/sec: 89,182 | mfu: 57.5% | epoch: 1 | remaining: 270s    
step 00093 (10.0%) | loss: 4.999071 | lrm: 1.00 | dt: 366ms | tok/sec: 89,619 | mfu: 57.8% | epoch: 1 | remaining: 270s    
step 00094 (10.1%) | loss: 4.995982 | lrm: 1.00 | dt: 365ms | tok/sec: 89,665 | mfu: 57.8% | epoch: 1 | remaining: 269s    
step 00095 (10.3%) | loss: 4.981037 | lrm: 1.00 | dt: 366ms | tok/sec: 89,426 | mfu: 57.7% | epoch: 1 | remaining: 269s    
step 00096 (10.4%) | loss: 4.970125 | lrm: 1.00 | dt: 366ms | tok/sec: 89,647 | mfu: 57.8% | epoch: 1 | remaining: 268s    
step 00097 (10.5%) | loss: 4.962796 | lrm: 1.00 | dt: 367ms | tok/sec: 89,256 | mfu: 57.6% | epoch: 1 | remaining: 268s    
step 00098 (10.6%) | loss: 4.949190 | lrm: 1.00 | dt: 369ms | tok/sec: 88,882 | mfu: 57.3% | epoch: 1 | remaining: 268s    
step 00099 (10.7%) | loss: 4.941804 | lrm: 1.00 | dt: 366ms | tok/sec: 89,530 | mfu: 57.7% | epoch: 1 | remaining: 267s    
step 00100 (10.9%) | loss: 4.936515 | lrm: 1.00 | dt: 375ms | tok/sec: 87,303 | mfu: 56.3% | epoch: 1 | remaining: 267s    
step 00101 (11.0%) | loss: 4.921788 | lrm: 1.00 | dt: 367ms | tok/sec: 89,389 | mfu: 57.6% | epoch: 1 | remaining: 267s    
step 00102 (11.1%) | loss: 4.909362 | lrm: 1.00 | dt: 366ms | tok/sec: 89,602 | mfu: 57.8% | epoch: 1 | remaining: 266s    
step 00103 (11.2%) | loss: 4.901283 | lrm: 1.00 | dt: 367ms | tok/sec: 89,217 | mfu: 57.5% | epoch: 1 | remaining: 266s    
step 00104 (11.4%) | loss: 4.888395 | lrm: 1.00 | dt: 367ms | tok/sec: 89,368 | mfu: 57.6% | epoch: 1 | remaining: 266s    
step 00105 (11.5%) | loss: 4.874582 | lrm: 1.00 | dt: 365ms | tok/sec: 89,785 | mfu: 57.9% | epoch: 1 | remaining: 265s    
step 00106 (11.6%) | loss: 4.872214 | lrm: 1.00 | dt: 367ms | tok/sec: 89,340 | mfu: 57.6% | epoch: 1 | remaining: 265s    
step 00107 (11.7%) | loss: 4.859486 | lrm: 1.00 | dt: 365ms | tok/sec: 89,843 | mfu: 57.9% | epoch: 1 | remaining: 264s    
step 00108 (11.8%) | loss: 4.852308 | lrm: 1.00 | dt: 365ms | tok/sec: 89,766 | mfu: 57.9% | epoch: 1 | remaining: 264s    
step 00109 (12.0%) | loss: 4.838430 | lrm: 1.00 | dt: 366ms | tok/sec: 89,511 | mfu: 57.7% | epoch: 1 | remaining: 264s    
step 00110 (12.1%) | loss: 4.828797 | lrm: 1.00 | dt: 365ms | tok/sec: 89,881 | mfu: 58.0% | epoch: 1 | remaining: 263s    
step 00111 (12.2%) | loss: 4.823768 | lrm: 1.00 | dt: 366ms | tok/sec: 89,538 | mfu: 57.7% | epoch: 1 | remaining: 263s    
step 00112 (12.3%) | loss: 4.811753 | lrm: 1.00 | dt: 366ms | tok/sec: 89,586 | mfu: 57.8% | epoch: 1 | remaining: 263s    
step 00113 (12.5%) | loss: 4.807446 | lrm: 1.00 | dt: 368ms | tok/sec: 89,082 | mfu: 57.4% | epoch: 1 | remaining: 262s    
step 00114 (12.6%) | loss: 4.794249 | lrm: 1.00 | dt: 367ms | tok/sec: 89,242 | mfu: 57.6% | epoch: 1 | remaining: 262s    
step 00115 (12.7%) | loss: 4.788695 | lrm: 1.00 | dt: 364ms | tok/sec: 89,967 | mfu: 58.0% | epoch: 1 | remaining: 262s    
step 00116 (12.8%) | loss: 4.785959 | lrm: 1.00 | dt: 366ms | tok/sec: 89,627 | mfu: 57.8% | epoch: 1 | remaining: 261s    
step 00117 (12.9%) | loss: 4.780628 | lrm: 1.00 | dt: 366ms | tok/sec: 89,451 | mfu: 57.7% | epoch: 1 | remaining: 261s    
step 00118 (13.1%) | loss: 4.770295 | lrm: 1.00 | dt: 364ms | tok/sec: 89,934 | mfu: 58.0% | epoch: 1 | remaining: 260s    
step 00119 (13.2%) | loss: 4.765279 | lrm: 1.00 | dt: 366ms | tok/sec: 89,437 | mfu: 57.7% | epoch: 1 | remaining: 260s    
step 00120 (13.3%) | loss: 4.763386 | lrm: 1.00 | dt: 366ms | tok/sec: 89,542 | mfu: 57.7% | epoch: 1 | remaining: 260s    
step 00121 (13.4%) | loss: 4.756727 | lrm: 1.00 | dt: 364ms | tok/sec: 90,037 | mfu: 58.1% | epoch: 1 | remaining: 259s    
step 00122 (13.6%) | loss: 4.751501 | lrm: 1.00 | dt: 367ms | tok/sec: 89,215 | mfu: 57.5% | epoch: 1 | remaining: 259s    
step 00123 (13.7%) | loss: 4.737214 | lrm: 1.00 | dt: 367ms | tok/sec: 89,211 | mfu: 57.5% | epoch: 1 | remaining: 259s    
step 00124 (13.8%) | loss: 4.732123 | lrm: 1.00 | dt: 365ms | tok/sec: 89,829 | mfu: 57.9% | epoch: 1 | remaining: 258s    
step 00125 (13.9%) | loss: 4.727943 | lrm: 1.00 | dt: 369ms | tok/sec: 88,880 | mfu: 57.3% | epoch: 1 | remaining: 258s    
step 00126 (14.0%) | loss: 4.716701 | lrm: 1.00 | dt: 365ms | tok/sec: 89,683 | mfu: 57.8% | epoch: 1 | remaining: 258s    
step 00127 (14.2%) | loss: 4.709538 | lrm: 1.00 | dt: 365ms | tok/sec: 89,843 | mfu: 57.9% | epoch: 1 | remaining: 257s    
step 00128 (14.3%) | loss: 4.701796 | lrm: 1.00 | dt: 368ms | tok/sec: 89,044 | mfu: 57.4% | epoch: 1 | remaining: 257s    
step 00129 (14.4%) | loss: 4.691132 | lrm: 1.00 | dt: 365ms | tok/sec: 89,696 | mfu: 57.8% | epoch: 1 | remaining: 256s    
step 00130 (14.5%) | loss: 4.685605 | lrm: 1.00 | dt: 365ms | tok/sec: 89,801 | mfu: 57.9% | epoch: 1 | remaining: 256s    
step 00131 (14.7%) | loss: 4.683124 | lrm: 1.00 | dt: 368ms | tok/sec: 89,152 | mfu: 57.5% | epoch: 1 | remaining: 256s    
step 00132 (14.8%) | loss: 4.682541 | lrm: 1.00 | dt: 366ms | tok/sec: 89,591 | mfu: 57.8% | epoch: 1 | remaining: 255s    
step 00133 (14.9%) | loss: 4.668824 | lrm: 1.00 | dt: 368ms | tok/sec: 89,162 | mfu: 57.5% | epoch: 1 | remaining: 255s    
step 00134 (15.0%) | loss: 4.662481 | lrm: 1.00 | dt: 366ms | tok/sec: 89,409 | mfu: 57.7% | epoch: 1 | remaining: 255s    
step 00135 (15.1%) | loss: 4.659739 | lrm: 1.00 | dt: 365ms | tok/sec: 89,780 | mfu: 57.9% | epoch: 1 | remaining: 254s    
step 00136 (15.3%) | loss: 4.660261 | lrm: 1.00 | dt: 366ms | tok/sec: 89,542 | mfu: 57.7% | epoch: 1 | remaining: 254s    
step 00137 (15.4%) | loss: 4.654377 | lrm: 1.00 | dt: 365ms | tok/sec: 89,705 | mfu: 57.8% | epoch: 1 | remaining: 253s    
step 00138 (15.5%) | loss: 4.645840 | lrm: 1.00 | dt: 365ms | tok/sec: 89,710 | mfu: 57.9% | epoch: 1 | remaining: 253s    
step 00139 (15.6%) | loss: 4.629940 | lrm: 1.00 | dt: 369ms | tok/sec: 88,828 | mfu: 57.3% | epoch: 1 | remaining: 253s    
step 00140 (15.8%) | loss: 4.620370 | lrm: 1.00 | dt: 365ms | tok/sec: 89,735 | mfu: 57.9% | epoch: 1 | remaining: 252s    
step 00141 (15.9%) | loss: 4.614030 | lrm: 1.00 | dt: 365ms | tok/sec: 89,718 | mfu: 57.9% | epoch: 1 | remaining: 252s    
step 00142 (16.0%) | loss: 4.610068 | lrm: 1.00 | dt: 368ms | tok/sec: 89,095 | mfu: 57.5% | epoch: 1 | remaining: 252s    
step 00143 (16.1%) | loss: 4.608357 | lrm: 1.00 | dt: 364ms | tok/sec: 89,986 | mfu: 58.0% | epoch: 1 | remaining: 251s    
step 00144 (16.2%) | loss: 4.604370 | lrm: 1.00 | dt: 366ms | tok/sec: 89,425 | mfu: 57.7% | epoch: 1 | remaining: 251s    
step 00145 (16.4%) | loss: 4.597000 | lrm: 1.00 | dt: 367ms | tok/sec: 89,327 | mfu: 57.6% | epoch: 1 | remaining: 251s    
step 00146 (16.5%) | loss: 4.588438 | lrm: 1.00 | dt: 364ms | tok/sec: 89,906 | mfu: 58.0% | epoch: 1 | remaining: 250s    
step 00147 (16.6%) | loss: 4.587095 | lrm: 1.00 | dt: 367ms | tok/sec: 89,385 | mfu: 57.6% | epoch: 1 | remaining: 250s    
step 00148 (16.7%) | loss: 4.576777 | lrm: 1.00 | dt: 365ms | tok/sec: 89,708 | mfu: 57.9% | epoch: 1 | remaining: 249s    
step 00149 (16.8%) | loss: 4.570344 | lrm: 1.00 | dt: 366ms | tok/sec: 89,564 | mfu: 57.8% | epoch: 1 | remaining: 249s    
step 00150 (17.0%) | loss: 4.562772 | lrm: 1.00 | dt: 369ms | tok/sec: 88,763 | mfu: 57.2% | epoch: 1 | remaining: 249s    
step 00151 (17.1%) | loss: 4.556119 | lrm: 1.00 | dt: 367ms | tok/sec: 89,348 | mfu: 57.6% | epoch: 1 | remaining: 248s    
step 00152 (17.2%) | loss: 4.557726 | lrm: 1.00 | dt: 366ms | tok/sec: 89,580 | mfu: 57.8% | epoch: 1 | remaining: 248s    
step 00153 (17.3%) | loss: 4.549272 | lrm: 1.00 | dt: 367ms | tok/sec: 89,370 | mfu: 57.6% | epoch: 1 | remaining: 248s    
step 00154 (17.5%) | loss: 4.546014 | lrm: 1.00 | dt: 364ms | tok/sec: 89,901 | mfu: 58.0% | epoch: 1 | remaining: 247s    
step 00155 (17.6%) | loss: 4.533328 | lrm: 1.00 | dt: 366ms | tok/sec: 89,426 | mfu: 57.7% | epoch: 1 | remaining: 247s    
step 00156 (17.7%) | loss: 4.534178 | lrm: 1.00 | dt: 368ms | tok/sec: 89,099 | mfu: 57.5% | epoch: 1 | remaining: 247s    
