iter	val_bpb	best_val_bpb	memory_gb	status	description	timestamp
27	1.309552	1.309390	7.4	discard	x0_lambdas init 0.2 instead of 0.1	2026-03-10T08:04:51
28	0.000000	1.309390	0.0	crash	torch.compile (Triton not available on Jetson)	2026-03-10T08:06:11
29	1.313487	1.309390	8.2	discard	wider SwiGLU MLP (4x instead of 8/3x hidden)	2026-03-10T08:12:35
30	1.310758	1.309390	7.4	discard	Muon beta2 0.99 instead of 0.95	2026-03-10T08:19:08
31	1.346786	1.309390	7.4	discard	reduce HEAD_DIM from 64 to 32 (12 heads)	2026-03-10T08:25:22
32	1.312175	1.309390	7.4	discard	increase scalar LR from 0.5 to 1.0	2026-03-10T08:31:28
33	1.310201	1.309390	7.3	discard	GQA with n_kv_head=3 (depth=6)	2026-03-10T08:38:52
34	0.000000	1.309390	0.0	crash	GQA + depth=7 (7 heads not divisible by 3)	2026-03-10T08:38:52
35	1.309244	1.309244	7.4	keep	change random seed from 42 to 137	2026-03-10T08:45:10
36	1.311384	1.309244	7.4	discard	increase matrix LR from 0.05 to 0.06	2026-03-10T08:51:21
37	1.309573	1.309244	7.6	discard	slightly wider SwiGLU MLP (3/4 ratio)	2026-03-10T08:57:39
38	1.320364	1.309244	8.5	discard	depth=8 with same model_dim=384	2026-03-10T09:04:35
39	1.310626	1.309244	7.4	discard	increase VE gate channels from 32 to 64	2026-03-10T09:10:45
40	1.310433	1.309244	7.0	discard	smaller SwiGLU MLP (3x instead of 4x base)	2026-03-10T09:17:25
41	1.313734	1.309244	7.4	discard	constant weight decay instead of linear decay	2026-03-10T09:24:05
42	1.310696	1.309244	7.4	discard	reduce logit softcap from 15 to 10	2026-03-10T09:30:17
43	1.312166	1.309244	7.4	discard	increase Muon initial momentum from 0.85 to 0.9	2026-03-10T09:37:28
44	1.298559	1.298559	6.4	keep	remove logit softcap (no tanh clamping)	2026-03-10T09:44:05
45	1.354332	1.298559	7.6	discard	wider model (aspect_ratio 80 -> dim 512)	2026-03-10T09:51:02
46	1.302117	1.298559	4.9	discard	batch size 24K with device_batch=48	2026-03-10T09:57:26
47	1.299312	1.298559	6.4	discard	matrix LR 0.06 (no softcap)	2026-03-10T10:08:36
48	1.296893	1.296893	6.4	keep	reduce matrix LR from 0.05 to 0.04	2026-03-10T10:08:36
49	1.300945	1.296893	6.4	discard	reduce matrix LR to 0.03	2026-03-10T10:14:12
50	1.295006	1.295006	6.4	keep	increase RoPE base frequency from 10000 to 50000	2026-03-10T10:20:26
51	1.295536	1.295006	6.4	discard	RoPE base 100000 (50000 was better)	2026-03-10T10:26:03
52	1.295535	1.295006	6.4	discard	increase embedding LR from 0.6 to 0.8	2026-03-10T10:32:48
53	1.294693	1.294693	6.4	keep	reduce warmdown ratio from 0.85 to 0.8	2026-03-10T10:38:25
54	1.295551	1.294693	6.4	discard	reduce warmdown ratio to 0.75	2026-03-10T10:43:59
55	1.294401	1.294401	6.4	keep	reduce final LR fraction from 0.1 to 0.05	2026-03-10T10:51:26
56	1.298151	1.294401	6.4	discard	unembedding LR 0.006	2026-03-10T11:03:36
57	1.299987	1.294401	6.4	discard	unembedding LR 0.012	2026-03-10T11:03:36
58	1.294334	1.294334	6.4	keep	reduce VE gate channels from 32 to 16	2026-03-10T11:09:44
59	1.296199	1.294334	6.4	discard	increase weight decay from 0.2 to 0.3	2026-03-10T11:15:58
60	1.300000	1.294334	6.4	discard	GeGLU instead of SwiGLU	2026-03-10T11:22:10
61	1.296856	1.294334	6.4	discard	RoPE base 30000 (50000 was better)	2026-03-10T11:28:19
62	1.294546	1.294334	6.4	discard	reduce rotary_seq_len multiplier from 10x to 2x	2026-03-10T11:34:38
63	1.300415	1.294334	6.4	discard	add 2% LR warmup	2026-03-10T11:40:18
64	1.295696	1.294334	6.4	discard	RoPE base 75000 (50000 still optimal)	2026-03-10T11:46:25
65	1.296819	1.294334	6.1	discard	remove QK normalization	2026-03-10T11:52:38
66	1.332658	1.294334	6.4	discard	Muon optimizer for unembedding (lm_head)	2026-03-10T08:03:00-04:00
67	1.290100	1.290100	6.6	keep	HEAD_DIM=96 (4 heads instead of 6)	2026-03-10T08:09:19-04:00
68	1.288240	1.288240	6.6	keep	HEAD_DIM=128 (3 heads instead of 4)	2026-03-10T08:14:55-04:00
69	1.287378	1.287378	6.6	keep	HEAD_DIM=192 (2 heads instead of 3)	2026-03-10T08:20:29-04:00
70	1.319666	1.287378	6.6	discard	HEAD_DIM=384 single-head attention (too extreme)	2026-03-10T08:26:08-04:00
71	1.289860	1.287378	6.6	discard	increase MATRIX_LR from 0.04 to 0.05	2026-03-10T08:31:49-04:00
72	1.290787	1.287378	6.6	discard	reduce MATRIX_LR from 0.04 to 0.03	2026-03-10T08:37:26-04:00
73	1.297501	1.287378	6.7	discard	VE on all layers instead of alternating	2026-03-10T08:43:57-04:00
74	1.302256	1.287378	6.5	discard	remove value embeddings entirely	2026-03-10T08:49:39-04:00
75	1.287596	1.287378	6.6	discard	increase EMBEDDING_LR from 0.6 to 0.8	2026-03-10T08:55:15-04:00
76	1.295149	1.287378	6.6	discard	reduce EMBEDDING_LR from 0.6 to 0.4	2026-03-10T09:00:49-04:00
77	1.600831	1.287378	6.6	discard	label smoothing 0.1 (hurts BPB metric)	2026-03-10T09:06:56-04:00
78	1.289325	1.287378	6.6	discard	RoPE base 100000 with HEAD_DIM=192	2026-03-10T09:12:38-04:00
79	1.287817	1.287378	6.6	discard	RoPE base 10000 with HEAD_DIM=192	2026-03-10T09:18:14-04:00
80	1.310551	1.287378	6.6	discard	z-loss regularization (too slow, hurts quality)	2026-03-10T09:24:16-04:00
81	1.289488	1.287378	6.6	discard	increase UNEMBEDDING_LR from 0.008 to 0.01	2026-03-10T09:29:53-04:00
82	1.288432	1.287378	6.6	discard	reduce UNEMBEDDING_LR from 0.008 to 0.006	2026-03-10T09:35:36-04:00
83	1.301291	1.287378	6.6	discard	parallel attn+MLP blocks (PaLM-style)	2026-03-10T09:41:33-04:00
84	1.287967	1.287378	6.4	discard	multi-query attention (n_kv_head=1)	2026-03-10T09:47:23-04:00
85	1.287207	1.287207	6.6	keep	reduce WEIGHT_DECAY from 0.2 to 0.15	2026-03-10T09:52:59-04:00
86	1.286357	1.286357	6.6	keep	reduce WEIGHT_DECAY from 0.15 to 0.1	2026-03-10T09:58:34-04:00
87	1.286957	1.286357	6.6	discard	reduce WEIGHT_DECAY from 0.1 to 0.05	2026-03-10T10:04:11-04:00
88	1.286959	1.286357	6.6	discard	increase WARMDOWN_RATIO from 0.8 to 0.85	2026-03-10T10:09:48-04:00
89	1.287058	1.286357	6.6	discard	reduce WARMDOWN_RATIO from 0.8 to 0.75	2026-03-10T10:15:24-04:00
90	1.296175	1.286357	6.6	discard	x0_lambdas init 0.05 instead of 0.1	2026-03-10T10:21:06-04:00
91	1.289033	1.286357	6.6	discard	change seed from 137 to 42	2026-03-10T10:26:45-04:00
92	1.288962	1.286357	6.6	discard	change seed from 137 to 256	2026-03-10T10:32:27-04:00
93	1.288645	1.286357	6.6	discard	reduce FINAL_LR_FRAC from 0.05 to 0.0	2026-03-10T10:38:17-04:00
94	1.315379	1.286357	6.6	discard	LayerNorm instead of RMSNorm (too slow)	2026-03-10T10:44:50-04:00
95	1.291058	1.286357	6.6	discard	wider SwiGLU MLP (3/4 ratio, hidden=1152)	2026-03-10T10:50:49-04:00
96	1.291377	1.286357	6.6	discard	Adam beta1=0.9 instead of 0.8	2026-03-10T10:56:29-04:00
