Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,408
  scalars                 : 12
  total                   : 26,346,060
Estimated FLOPs per token: 9.673459e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011249 | lrm: 1.00 | dt: 1466ms | tok/sec: 11,178 | mfu: 7.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.934780 | lrm: 1.00 | dt: 340ms | tok/sec: 48,164 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.681718 | lrm: 1.00 | dt: 298ms | tok/sec: 55,050 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.338754 | lrm: 1.00 | dt: 298ms | tok/sec: 54,962 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.028771 | lrm: 1.00 | dt: 298ms | tok/sec: 54,976 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.775651 | lrm: 1.00 | dt: 298ms | tok/sec: 55,036 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.555651 | lrm: 1.00 | dt: 298ms | tok/sec: 54,990 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.381238 | lrm: 1.00 | dt: 298ms | tok/sec: 55,037 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.240231 | lrm: 1.00 | dt: 299ms | tok/sec: 54,867 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.112508 | lrm: 1.00 | dt: 298ms | tok/sec: 55,045 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.993913 | lrm: 1.00 | dt: 298ms | tok/sec: 54,982 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.904808 | lrm: 1.00 | dt: 298ms | tok/sec: 55,029 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.823026 | lrm: 1.00 | dt: 298ms | tok/sec: 54,970 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.750104 | lrm: 1.00 | dt: 299ms | tok/sec: 54,817 | mfu: 35.4% | epoch: 1 | remaining: 299s    
step 00077 (6.6%) | loss: 5.429170 | lrm: 1.00 | dt: 298ms | tok/sec: 54,942 | mfu: 35.4% | epoch: 1 | remaining: 280s    
step 00078 (6.7%) | loss: 5.418969 | lrm: 1.00 | dt: 298ms | tok/sec: 54,933 | mfu: 35.4% | epoch: 1 | remaining: 280s    
step 00079 (6.8%) | loss: 5.400135 | lrm: 1.00 | dt: 299ms | tok/sec: 54,871 | mfu: 35.4% | epoch: 1 | remaining: 279s    
step 00080 (6.9%) | loss: 5.387803 | lrm: 1.00 | dt: 299ms | tok/sec: 54,884 | mfu: 35.4% | epoch: 1 | remaining: 279s    
step 00081 (7.0%) | loss: 5.393938 | lrm: 1.00 | dt: 299ms | tok/sec: 54,775 | mfu: 35.3% | epoch: 1 | remaining: 279s    
step 00082 (7.1%) | loss: 5.378545 | lrm: 1.00 | dt: 298ms | tok/sec: 54,968 | mfu: 35.4% | epoch: 1 | remaining: 279s    
step 00083 (7.2%) | loss: 5.370561 | lrm: 1.00 | dt: 299ms | tok/sec: 54,852 | mfu: 35.4% | epoch: 1 | remaining: 278s    
step 00084 (7.3%) | loss: 5.359476 | lrm: 1.00 | dt: 298ms | tok/sec: 54,955 | mfu: 35.4% | epoch: 1 | remaining: 278s    
step 00085 (7.4%) | loss: 5.349305 | lrm: 1.00 | dt: 299ms | tok/sec: 54,816 | mfu: 35.4% | epoch: 1 | remaining: 278s    
step 00086 (7.5%) | loss: 5.344295 | lrm: 1.00 | dt: 299ms | tok/sec: 54,814 | mfu: 35.3% | epoch: 1 | remaining: 277s    
step 00087 (7.6%) | loss: 5.332751 | lrm: 1.00 | dt: 299ms | tok/sec: 54,885 | mfu: 35.4% | epoch: 1 | remaining: 277s    
step 00088 (7.7%) | loss: 5.327403 | lrm: 1.00 | dt: 299ms | tok/sec: 54,833 | mfu: 35.4% | epoch: 1 | remaining: 277s    
step 00089 (7.8%) | loss: 5.318806 | lrm: 1.00 | dt: 299ms | tok/sec: 54,808 | mfu: 35.3% | epoch: 1 | remaining: 276s    
step 00090 (7.9%) | loss: 5.306341 | lrm: 1.00 | dt: 298ms | tok/sec: 54,957 | mfu: 35.4% | epoch: 1 | remaining: 276s    
step 00091 (8.0%) | loss: 5.296555 | lrm: 1.00 | dt: 298ms | tok/sec: 54,941 | mfu: 35.4% | epoch: 1 | remaining: 276s    
step 00092 (8.1%) | loss: 5.281645 | lrm: 1.00 | dt: 299ms | tok/sec: 54,880 | mfu: 35.4% | epoch: 1 | remaining: 276s    
step 00093 (8.2%) | loss: 5.275987 | lrm: 1.00 | dt: 298ms | tok/sec: 54,955 | mfu: 35.4% | epoch: 1 | remaining: 275s    
step 00094 (8.3%) | loss: 5.270182 | lrm: 1.00 | dt: 298ms | tok/sec: 55,009 | mfu: 35.5% | epoch: 1 | remaining: 275s    
step 00095 (8.4%) | loss: 5.255105 | lrm: 1.00 | dt: 298ms | tok/sec: 54,998 | mfu: 35.5% | epoch: 1 | remaining: 275s    
step 00096 (8.5%) | loss: 5.247351 | lrm: 1.00 | dt: 298ms | tok/sec: 54,896 | mfu: 35.4% | epoch: 1 | remaining: 274s    
step 00097 (8.6%) | loss: 5.241612 | lrm: 1.00 | dt: 298ms | tok/sec: 54,996 | mfu: 35.5% | epoch: 1 | remaining: 274s    
step 00098 (8.7%) | loss: 5.237882 | lrm: 1.00 | dt: 298ms | tok/sec: 54,922 | mfu: 35.4% | epoch: 1 | remaining: 274s    
step 00099 (8.8%) | loss: 5.229627 | lrm: 1.00 | dt: 299ms | tok/sec: 54,798 | mfu: 35.3% | epoch: 1 | remaining: 273s    
step 00100 (8.9%) | loss: 5.222434 | lrm: 1.00 | dt: 298ms | tok/sec: 54,903 | mfu: 35.4% | epoch: 1 | remaining: 273s    
step 00101 (9.0%) | loss: 5.212705 | lrm: 1.00 | dt: 298ms | tok/sec: 54,914 | mfu: 35.4% | epoch: 1 | remaining: 273s    
step 00102 (9.1%) | loss: 5.205583 | lrm: 1.00 | dt: 299ms | tok/sec: 54,868 | mfu: 35.4% | epoch: 1 | remaining: 273s    
step 00103 (9.2%) | loss: 5.209973 | lrm: 1.00 | dt: 299ms | tok/sec: 54,839 | mfu: 35.4% | epoch: 1 | remaining: 272s    
step 00104 (9.3%) | loss: 5.201719 | lrm: 1.00 | dt: 299ms | tok/sec: 54,830 | mfu: 35.4% | epoch: 1 | remaining: 272s    
step 00105 (9.4%) | loss: 5.208837 | lrm: 1.00 | dt: 298ms | tok/sec: 54,949 | mfu: 35.4% | epoch: 1 | remaining: 272s    
step 00106 (9.5%) | loss: 5.199005 | lrm: 1.00 | dt: 298ms | tok/sec: 55,009 | mfu: 35.5% | epoch: 1 | remaining: 271s    
step 00107 (9.6%) | loss: 5.188990 | lrm: 1.00 | dt: 298ms | tok/sec: 54,934 | mfu: 35.4% | epoch: 1 | remaining: 271s    
step 00108 (9.7%) | loss: 5.184264 | lrm: 1.00 | dt: 299ms | tok/sec: 54,854 | mfu: 35.4% | epoch: 1 | remaining: 271s    
step 00109 (9.8%) | loss: 5.188922 | lrm: 1.00 | dt: 299ms | tok/sec: 54,871 | mfu: 35.4% | epoch: 1 | remaining: 270s    
step 00110 (9.9%) | loss: 5.176958 | lrm: 1.00 | dt: 298ms | tok/sec: 54,898 | mfu: 35.4% | epoch: 1 | remaining: 270s    
step 00111 (10.0%) | loss: 5.183054 | lrm: 1.00 | dt: 299ms | tok/sec: 54,875 | mfu: 35.4% | epoch: 1 | remaining: 270s    
step 00112 (10.0%) | loss: 5.172737 | lrm: 1.00 | dt: 298ms | tok/sec: 54,972 | mfu: 35.5% | epoch: 1 | remaining: 270s    
step 00113 (10.1%) | loss: 5.166244 | lrm: 1.00 | dt: 298ms | tok/sec: 54,936 | mfu: 35.4% | epoch: 1 | remaining: 269s    
step 00114 (10.2%) | loss: 5.155047 | lrm: 1.00 | dt: 299ms | tok/sec: 54,800 | mfu: 35.3% | epoch: 1 | remaining: 269s    
step 00115 (10.3%) | loss: 5.152338 | lrm: 1.00 | dt: 298ms | tok/sec: 54,900 | mfu: 35.4% | epoch: 1 | remaining: 269s    
step 00116 (10.4%) | loss: 5.133576 | lrm: 1.00 | dt: 298ms | tok/sec: 54,958 | mfu: 35.4% | epoch: 1 | remaining: 268s    
step 00117 (10.5%) | loss: 5.137492 | lrm: 1.00 | dt: 298ms | tok/sec: 54,913 | mfu: 35.4% | epoch: 1 | remaining: 268s    
step 00118 (10.6%) | loss: 5.137573 | lrm: 1.00 | dt: 299ms | tok/sec: 54,873 | mfu: 35.4% | epoch: 1 | remaining: 268s    
step 00119 (10.7%) | loss: 5.131963 | lrm: 1.00 | dt: 298ms | tok/sec: 54,911 | mfu: 35.4% | epoch: 1 | remaining: 267s    
step 00120 (10.8%) | loss: 5.125250 | lrm: 1.00 | dt: 299ms | tok/sec: 54,827 | mfu: 35.4% | epoch: 1 | remaining: 267s    
step 00121 (10.9%) | loss: 5.117371 | lrm: 1.00 | dt: 298ms | tok/sec: 54,974 | mfu: 35.5% | epoch: 1 | remaining: 267s    
step 00122 (11.0%) | loss: 5.109180 | lrm: 1.00 | dt: 298ms | tok/sec: 54,953 | mfu: 35.4% | epoch: 1 | remaining: 267s    
step 00123 (11.1%) | loss: 5.104041 | lrm: 1.00 | dt: 299ms | tok/sec: 54,865 | mfu: 35.4% | epoch: 1 | remaining: 266s    
step 00124 (11.2%) | loss: 5.102927 | lrm: 1.00 | dt: 298ms | tok/sec: 54,913 | mfu: 35.4% | epoch: 1 | remaining: 266s    
step 00125 (11.3%) | loss: 5.093428 | lrm: 1.00 | dt: 298ms | tok/sec: 54,920 | mfu: 35.4% | epoch: 1 | remaining: 266s    
step 00126 (11.4%) | loss: 5.085367 | lrm: 1.00 | dt: 299ms | tok/sec: 54,810 | mfu: 35.3% | epoch: 1 | remaining: 265s    
step 00127 (11.5%) | loss: 5.086689 | lrm: 1.00 | dt: 298ms | tok/sec: 54,985 | mfu: 35.5% | epoch: 1 | remaining: 265s    
step 00128 (11.6%) | loss: 5.071338 | lrm: 1.00 | dt: 298ms | tok/sec: 54,888 | mfu: 35.4% | epoch: 1 | remaining: 265s    
step 00129 (11.7%) | loss: 5.072099 | lrm: 1.00 | dt: 299ms | tok/sec: 54,866 | mfu: 35.4% | epoch: 1 | remaining: 264s    
step 00130 (11.8%) | loss: 5.065668 | lrm: 1.00 | dt: 298ms | tok/sec: 54,975 | mfu: 35.5% | epoch: 1 | remaining: 264s    
step 00131 (11.9%) | loss: 5.058249 | lrm: 1.00 | dt: 298ms | tok/sec: 54,948 | mfu: 35.4% | epoch: 1 | remaining: 264s    
step 00132 (12.0%) | loss: 5.049934 | lrm: 1.00 | dt: 298ms | tok/sec: 54,926 | mfu: 35.4% | epoch: 1 | remaining: 264s    
step 00133 (12.1%) | loss: 5.036879 | lrm: 1.00 | dt: 298ms | tok/sec: 54,911 | mfu: 35.4% | epoch: 1 | remaining: 263s    
step 00134 (12.2%) | loss: 5.040351 | lrm: 1.00 | dt: 298ms | tok/sec: 54,960 | mfu: 35.4% | epoch: 1 | remaining: 263s    
step 00135 (12.3%) | loss: 5.038808 | lrm: 1.00 | dt: 299ms | tok/sec: 54,820 | mfu: 35.4% | epoch: 1 | remaining: 263s    
step 00136 (12.4%) | loss: 5.035442 | lrm: 1.00 | dt: 298ms | tok/sec: 54,940 | mfu: 35.4% | epoch: 1 | remaining: 262s    
step 00137 (12.5%) | loss: 5.040405 | lrm: 1.00 | dt: 298ms | tok/sec: 54,943 | mfu: 35.4% | epoch: 1 | remaining: 262s    
step 00138 (12.6%) | loss: 5.035821 | lrm: 1.00 | dt: 299ms | tok/sec: 54,873 | mfu: 35.4% | epoch: 1 | remaining: 262s    
step 00139 (12.7%) | loss: 5.030069 | lrm: 1.00 | dt: 298ms | tok/sec: 54,979 | mfu: 35.5% | epoch: 1 | remaining: 261s    
step 00140 (12.8%) | loss: 5.035313 | lrm: 1.00 | dt: 298ms | tok/sec: 54,896 | mfu: 35.4% | epoch: 1 | remaining: 261s    
step 00141 (12.9%) | loss: 5.032041 | lrm: 1.00 | dt: 299ms | tok/sec: 54,859 | mfu: 35.4% | epoch: 1 | remaining: 261s    
step 00142 (13.0%) | loss: 5.020919 | lrm: 1.00 | dt: 298ms | tok/sec: 54,939 | mfu: 35.4% | epoch: 1 | remaining: 261s    
step 00143 (13.1%) | loss: 5.004742 | lrm: 1.00 | dt: 298ms | tok/sec: 54,893 | mfu: 35.4% | epoch: 1 | remaining: 260s    
step 00144 (13.2%) | loss: 4.990308 | lrm: 1.00 | dt: 299ms | tok/sec: 54,861 | mfu: 35.4% | epoch: 1 | remaining: 260s    
step 00145 (13.3%) | loss: 4.981506 | lrm: 1.00 | dt: 298ms | tok/sec: 54,919 | mfu: 35.4% | epoch: 1 | remaining: 260s    
step 00146 (13.4%) | loss: 4.987945 | lrm: 1.00 | dt: 298ms | tok/sec: 54,907 | mfu: 35.4% | epoch: 1 | remaining: 259s    
step 00147 (13.5%) | loss: 4.971365 | lrm: 1.00 | dt: 299ms | tok/sec: 54,875 | mfu: 35.4% | epoch: 1 | remaining: 259s    
step 00148 (13.6%) | loss: 4.964824 | lrm: 1.00 | dt: 298ms | tok/sec: 54,948 | mfu: 35.4% | epoch: 1 | remaining: 259s    
step 00149 (13.7%) | loss: 4.958396 | lrm: 1.00 | dt: 298ms | tok/sec: 54,943 | mfu: 35.4% | epoch: 1 | remaining: 259s    
step 00150 (13.8%) | loss: 4.944799 | lrm: 1.00 | dt: 298ms | tok/sec: 54,928 | mfu: 35.4% | epoch: 1 | remaining: 258s    
step 00151 (13.9%) | loss: 4.938688 | lrm: 1.00 | dt: 299ms | tok/sec: 54,867 | mfu: 35.4% | epoch: 1 | remaining: 258s    
step 00152 (14.0%) | loss: 4.937307 | lrm: 1.00 | dt: 298ms | tok/sec: 54,992 | mfu: 35.5% | epoch: 1 | remaining: 258s    
step 00153 (14.1%) | loss: 4.929439 | lrm: 1.00 | dt: 298ms | tok/sec: 54,903 | mfu: 35.4% | epoch: 1 | remaining: 257s    
step 00154 (14.2%) | loss: 4.934133 | lrm: 1.00 | dt: 298ms | tok/sec: 54,963 | mfu: 35.4% | epoch: 1 | remaining: 257s    
step 00155 (14.3%) | loss: 4.928978 | lrm: 1.00 | dt: 299ms | tok/sec: 54,765 | mfu: 35.3% | epoch: 1 | remaining: 257s    
step 00156 (14.4%) | loss: 4.925162 | lrm: 1.00 | dt: 299ms | tok/sec: 54,879 | mfu: 35.4% | epoch: 1 | remaining: 256s    
